Day of week,Hrs,Mins,Stage,No.of waiting patients,Reason,Service time (secs)
1,20,37,4,4,1,60
1,19,43,2,28,4,1083
6,0,58,2,11,1,2478
6,21,43,2,27,3,1455
3,11,54,2,31,1,2314
2,21,50,4,37,4,84
6,15,57,2,37,3,1502
1,18,9,2,7,1,2334
4,21,18,2,9,0,1168
1,20,43,3,10,1,58
6,12,15,2,9,2,3497
5,20,11,2,5,0,885
5,19,41,2,26,3,1564
3,21,34,2,33,0,977
3,20,25,2,20,3,1500
4,21,6,2,19,2,3675
3,21,12,3,19,3,84
6,21,23,2,42,2,3571
0,21,28,2,2,3,1773
3,11,15,2,4,4,1064
3,21,10,2,1,1,2422
3,9,27,2,29,3,1452
6,9,59,2,2,0,891
2,20,35,2,36,4,1098
5,10,58,3,28,2,69
6,18,51,3,40,1,60
1,10,55,2,41,4,1190
5,18,16,2,28,1,2351
1,10,21,3,35,0,54
4,18,29,2,9,1,2448
0,10,35,2,11,3,1477
0,0,43,2,37,2,3332
0,17,48,3,4,4,54
1,20,21,3,24,1,54
6,17,23,2,38,3,1474
4,20,37,2,7,0,893
4,20,55,4,15,1,99
5,21,50,2,41,1,2298
6,17,25,2,38,3,1569
3,18,4,2,25,1,2358
6,0,57,2,2,0,829
3,21,4,4,29,2,103
0,16,42,2,40,2,3732
2,19,1,2,33,3,1885
4,20,12,2,1,1,2392
3,18,2,2,32,0,894
3,19,58,3,3,4,75
1,21,43,4,27,4,88
5,18,15,3,30,1,86
2,21,35,4,43,1,86
4,20,25,2,1,1,2559
3,20,3,2,47,0,892
5,18,1,3,18,0,63
1,10,43,3,10,4,51
1,21,2,4,5,0,97
6,10,25,2,38,0,913
6,16,53,2,45,1,2325
3,20,59,3,7,1,62
0,15,30,2,29,3,1560
3,19,39,2,32,2,3718
2,19,37,2,16,0,901
3,20,48,2,19,3,1486
4,20,59,4,13,2,97
5,20,35,2,46,3,1558
5,11,41,3,11,4,54
4,21,44,2,3,3,1471
5,19,33,4,17,1,83
6,17,39,4,48,0,80
2,20,13,2,32,2,3645
5,19,41,4,9,4,97
5,19,14,3,23,2,63
3,21,0,2,26,1,2421
5,21,5,2,1,1,2472
6,21,20,2,35,3,1141
0,0,24,3,9,0,57
4,18,25,3,40,4,52
0,16,9,4,22,3,96
2,10,41,3,45,0,50
3,20,1,2,48,3,1307
5,12,54,2,48,3,1527
2,11,42,2,46,4,1075
2,19,23,4,27,3,81
3,9,32,2,48,2,3381
6,10,46,3,22,4,78
4,10,21,4,17,3,84
6,16,13,3,33,2,60
4,20,36,2,12,1,2275
3,18,1,2,10,2,3566
3,21,35,2,39,3,1525
4,20,0,2,11,2,3740
1,20,12,4,44,3,89
0,10,0,3,18,0,49
5,18,0,3,42,4,76
3,19,29,3,25,4,57
3,21,9,2,19,2,3306
1,21,35,3,40,0,71
1,18,32,2,19,3,1783
2,19,37,2,38,2,3577
6,9,31,2,7,1,2296
2,9,59,2,42,3,1230
6,12,47,2,37,1,2395
2,19,19,3,47,3,68
0,16,52,3,39,2,69
3,9,32,3,21,2,78
5,20,51,2,19,2,3388
6,11,35,2,9,2,2427
5,20,3,2,5,3,1511
4,19,56,2,36,0,888
1,19,15,3,49,1,69
2,20,42,2,6,1,2309
4,9,55,2,4,4,1294
0,10,49,2,41,0,907
3,18,19,2,29,0,906
5,10,53,3,11,3,64
3,12,58,2,9,3,1552
0,20,24,2,32,1,2432
0,21,18,3,10,1,52
4,18,53,2,46,1,2414
0,0,24,4,30,0,95
4,21,40,4,33,3,83
5,20,24,2,38,1,2398
4,21,3,2,43,0,543
2,19,43,2,10,2,3715
6,14,59,2,45,2,3420
5,19,19,3,44,1,51
0,12,28,2,44,2,3423
1,12,18,4,4,0,92
6,18,57,2,7,0,648
6,21,47,2,5,0,621
1,21,35,3,13,2,70
2,20,6,4,13,3,85
5,20,40,2,39,4,1310
5,19,16,2,48,4,1068
1,21,7,2,2,4,1070
6,18,11,2,36,2,4126
0,12,14,4,13,3,82
5,18,36,2,45,1,2395
4,21,36,4,26,4,96
5,19,32,4,48,3,91
4,9,4,2,34,2,3798
4,11,51,3,21,0,47
1,21,4,2,42,0,1241
0,11,43,4,10,2,61
5,21,30,2,25,4,856
4,21,41,2,28,3,1518
0,20,6,2,40,1,2300
6,10,17,2,47,0,906
4,19,4,3,16,4,58
0,19,6,2,21,1,2309
2,21,36,3,19,3,68
1,19,11,2,37,4,1287
0,18,34,4,17,1,79
3,18,45,2,6,4,1096
6,18,8,2,44,0,899
2,11,5,2,28,1,2768
1,11,26,3,17,3,66
5,18,24,2,49,2,3354
6,18,54,2,32,2,3618
2,18,11,2,12,3,1511
5,21,30,2,3,3,1516
1,20,48,2,27,4,1094
0,19,4,4,28,0,88
1,10,51,2,49,1,2439
0,11,57,2,1,4,1071
5,18,45,2,32,2,3765
3,18,47,3,45,2,76
3,20,55,2,12,3,1539
3,20,17,4,17,3,93
1,12,12,2,15,2,3907
3,19,3,2,43,0,914
6,17,36,3,4,3,57
2,10,34,2,26,2,3616
1,19,31,2,28,4,1365
6,20,22,2,31,2,3751
0,11,26,4,37,2,74
2,20,7,3,28,1,87
6,12,50,2,0,0,895
5,20,28,2,33,0,919
2,11,43,2,48,0,906
5,9,46,2,13,3,1776
2,19,29,2,46,1,2109
4,10,51,2,1,3,1538
1,11,32,4,45,1,105
3,20,34,2,44,4,1022
0,9,43,2,5,0,905
6,12,20,3,23,3,50
6,10,10,2,15,0,911
4,19,38,2,32,4,870
4,19,3,2,48,3,1543
3,11,43,2,19,1,2347
0,18,31,2,35,3,1446
2,20,40,2,37,3,1501
0,19,49,2,35,2,3706
0,0,48,2,46,4,849
2,9,14,2,37,3,1451
4,19,22,2,6,3,1524
5,11,3,2,32,4,1066
2,12,35,2,17,4,1091
2,21,36,2,13,0,768
3,19,52,2,40,0,635
2,19,39,2,25,4,1353
5,21,29,2,21,2,3536
3,19,15,3,9,2,53
6,19,19,2,34,1,2374
6,21,52,2,40,4,1066
4,18,28,3,35,1,62
1,19,52,3,1,4,41
3,20,52,4,11,3,96
2,18,32,2,11,2,3644
6,20,16,3,26,0,71
3,20,30,2,32,2,3537
2,19,12,3,23,3,71
1,20,28,3,9,4,65
1,18,42,2,23,0,909
3,19,48,3,28,3,87
4,21,41,2,46,0,885
5,9,33,2,2,4,906
5,18,32,3,38,2,59
3,20,19,2,28,0,909
0,10,46,4,45,3,94
6,17,25,4,36,4,98
5,12,1,2,23,0,919
6,19,11,2,43,2,3455
1,20,24,2,45,1,2243
0,0,32,2,6,2,3588
2,18,42,4,36,4,86
1,19,9,3,34,2,73
6,21,32,2,43,4,1073
3,9,55,2,33,2,3353
1,10,48,2,16,4,1095
6,0,26,4,23,1,91
4,19,58,2,1,0,883
0,17,45,2,33,2,3792
3,19,28,2,44,0,899
2,19,0,2,32,1,2485
3,21,24,2,17,4,1071
5,19,25,2,31,1,2353
2,12,13,2,21,2,4700
1,19,49,2,34,2,3394
3,21,23,2,6,1,2457
6,12,57,2,46,0,910
2,12,20,2,34,4,1060
3,19,7,3,43,4,42
0,0,37,2,21,4,1060
4,20,36,2,42,4,1091
3,21,45,2,28,0,893
4,10,22,3,13,4,66
2,19,19,3,35,0,44
0,14,11,3,37,3,55
6,9,30,2,10,2,3763
1,11,51,2,11,3,1565
4,21,30,2,44,3,1566
4,19,2,2,37,1,2289
1,11,10,2,16,2,4141
2,12,49,4,40,3,80
2,12,27,3,24,3,40
3,19,50,2,30,0,889
2,10,59,2,41,3,1472
4,20,49,2,8,3,1211
3,21,11,2,19,2,2824
0,14,47,2,3,0,895
3,21,41,4,33,2,90
1,18,7,2,47,4,1096
0,20,3,2,3,1,2344
6,14,30,3,18,2,77
5,11,53,2,46,1,2635
1,10,44,4,11,4,96
0,9,56,4,28,4,68
2,12,53,2,25,4,1092
6,12,19,2,39,3,1550
2,18,24,2,44,0,889
1,12,14,4,22,3,87
6,20,23,2,39,3,1541
4,19,33,4,5,3,99
1,18,44,3,11,1,47
2,19,46,2,28,2,4348
3,21,45,2,25,0,919
4,20,35,2,0,4,1075
4,20,26,2,38,0,883
6,21,6,2,5,4,1088
5,20,40,2,26,4,1091
0,11,47,4,2,3,104
5,20,58,2,23,0,899
5,21,48,4,39,3,94
1,12,22,2,29,4,1068
1,18,46,2,33,2,3495
1,10,31,2,12,2,3480
6,21,6,3,27,4,62
1,20,24,3,5,3,88
2,21,36,2,29,4,1084
1,18,20,2,18,4,1081
6,0,5,2,47,0,805
5,11,57,2,42,3,1415
0,12,13,2,22,2,3324
0,19,44,3,48,4,40
0,12,0,2,11,4,1060
4,11,30,2,32,0,910
6,12,27,2,25,3,1546
5,18,7,3,44,3,42
5,21,43,3,47,3,65
2,11,3,2,28,2,3404
0,15,9,2,6,0,897
0,15,10,4,44,0,96
3,9,42,4,1,2,93
3,20,48,2,0,3,1879
5,21,34,2,0,2,3661
5,20,23,2,19,4,895
6,14,56,2,1,2,2856
1,11,8,3,2,2,68
0,12,19,4,6,4,85
5,20,32,2,47,0,1165
4,21,7,2,2,0,881
6,18,55,2,4,3,1147
3,21,24,2,31,1,2468
4,21,55,2,7,0,885
3,20,4,2,8,1,2876
4,12,32,2,24,3,1514
2,19,52,2,25,3,1483
6,0,56,3,20,1,65
6,14,50,2,8,0,889
0,15,3,2,25,2,3609
2,20,49,2,49,1,2411
1,20,28,3,41,0,63
6,19,7,2,48,0,901
1,11,13,2,14,2,3535
4,11,27,2,8,2,4224
5,18,17,2,45,1,2398
3,19,15,3,42,3,75
2,20,0,2,30,4,1082
6,0,22,4,26,3,81
4,11,4,2,28,1,2372
5,21,15,4,47,0,92
3,19,29,2,29,3,1499
3,20,53,2,39,0,716
3,12,15,4,25,3,77
5,12,52,3,27,3,52
6,0,48,2,47,1,2303
2,18,48,2,31,1,2279
6,12,19,2,42,3,1524
4,20,2,2,35,3,1500
1,19,32,2,43,1,2443
5,20,44,2,9,2,3548
1,18,37,2,1,0,917
2,20,8,2,1,2,2952
2,21,32,2,29,3,1496
0,19,51,4,47,2,84
5,18,58,4,38,3,80
6,12,46,2,9,0,1125
6,20,51,2,22,3,1503
0,11,52,2,45,0,672
6,17,31,2,40,0,969
0,12,57,2,12,1,2367
5,18,56,2,35,4,1090
1,21,43,2,12,2,3753
0,0,48,2,0,0,905
6,21,5,2,23,0,918
6,11,6,2,31,1,2347
4,10,39,2,10,2,4504
4,12,55,2,23,3,1429
1,18,45,3,33,1,65
6,15,25,2,12,1,2627
4,19,57,2,20,4,1190
6,12,49,2,29,3,1430
1,11,42,4,9,0,90
4,21,0,4,3,2,107
3,20,51,4,44,1,90
1,20,12,2,29,2,3539
0,16,54,3,15,0,42
6,0,46,2,49,3,1494
2,21,22,2,3,2,3581
0,19,59,2,26,2,3605
0,14,5,2,35,4,1064
6,19,39,4,26,1,95
0,10,4,2,25,1,2341
3,20,2,3,1,3,70
5,19,45,3,11,3,54
6,11,34,3,32,4,41
1,20,6,2,23,0,592
5,18,25,2,46,0,695
4,19,31,4,16,4,95
3,19,25,2,9,2,3609
1,20,36,2,4,1,2269
0,0,42,2,39,4,1030
5,20,7,2,40,4,890
2,18,56,2,24,0,901
2,20,32,4,32,2,91
2,19,20,2,10,3,1147
6,0,46,3,28,4,78
5,20,3,2,35,4,1312
3,21,39,4,7,1,82
2,21,6,2,37,0,919
5,18,47,2,0,1,2472
4,20,9,2,31,1,2053
4,21,5,2,37,2,3561
2,19,34,2,13,2,3651
3,10,23,2,7,3,1633
2,20,12,2,43,0,918
1,12,34,2,5,3,1577
4,18,15,2,6,1,2295
2,20,54,2,49,3,1218
1,19,8,2,9,4,1097
6,9,53,2,49,1,2425
4,19,53,2,29,1,2286
0,10,1,4,27,4,85
5,18,23,2,20,3,1452
4,9,23,2,33,3,1423
4,19,42,3,28,0,53
6,15,2,2,3,3,1124
1,21,55,2,10,3,1557
6,19,0,2,31,4,1309
2,18,53,2,34,3,1430
3,10,42,2,22,3,1890
5,18,42,4,40,1,90
0,0,34,2,41,1,2740
3,20,51,3,36,3,56
1,9,0,2,44,3,1489
0,18,26,2,6,3,1471
6,0,47,3,36,4,52
6,21,3,3,25,2,70
6,15,21,3,21,3,59
2,18,50,2,4,3,1555
3,18,33,3,32,0,58
0,20,59,2,3,4,1089
5,19,36,4,19,3,96
2,20,46,4,34,2,82
6,12,27,3,8,2,88
6,11,53,4,38,1,86
5,18,6,2,42,0,896
6,21,3,2,10,0,881
0,16,40,3,5,3,43
6,15,12,2,32,3,1807
0,16,54,3,31,2,42
1,21,12,2,7,4,1086
3,21,3,2,28,2,3572
1,21,56,2,30,1,2364
6,21,14,2,38,2,3427
4,21,38,2,45,3,1312
2,9,42,2,8,3,1506
5,21,5,2,35,3,1548
5,20,12,2,9,3,1698
5,18,16,2,41,2,3556
3,12,10,2,23,3,1459
4,20,11,2,37,3,1168
0,9,53,2,45,3,1458
1,21,27,2,4,1,2825
4,20,44,2,34,2,3639
1,9,47,2,48,3,1240
2,21,18,2,37,1,2338
6,14,18,3,47,3,79
4,20,33,3,15,0,42
3,11,4,3,45,0,71
5,21,54,4,29,3,110
4,11,40,2,44,0,910
1,11,47,3,29,3,49
0,9,33,2,17,1,2423
5,19,42,2,18,1,2463
4,20,56,2,20,2,3451
3,21,52,2,42,0,917
0,17,18,4,42,3,106
3,19,33,3,41,4,70
2,9,19,3,6,4,86
5,10,32,3,4,3,76
0,20,34,2,41,0,900
2,20,55,2,42,1,2363
2,21,20,2,41,1,2211
1,21,4,4,47,1,83
6,19,34,2,21,3,1503
4,21,18,2,3,2,3940
6,21,6,2,29,2,3308
5,19,30,3,43,3,88
6,16,9,4,5,1,94
2,10,54,2,44,3,1467
1,20,10,3,0,4,89
6,12,44,2,18,4,1091
4,18,2,2,46,2,3629
6,14,27,2,12,1,2456
4,10,36,4,2,1,108
3,21,54,2,9,0,605
1,20,5,3,30,1,52
0,18,31,2,27,1,2469
1,20,13,2,48,3,1852
6,0,34,2,18,2,4425
4,9,28,2,5,2,3482
2,21,16,2,49,1,2439
4,9,5,3,0,2,56
1,19,2,2,47,1,2368
1,9,2,2,10,3,1441
6,12,5,4,42,2,98
3,12,27,4,20,0,92
2,18,44,3,13,4,80
4,20,2,2,14,1,2348
1,10,4,4,30,2,83
2,20,19,2,44,0,896
4,20,17,2,14,4,1065
4,20,53,2,15,1,2429
1,21,59,2,42,3,1422
1,12,51,2,14,4,978
2,19,49,2,29,2,4449
1,20,44,2,31,3,1150
5,19,48,3,11,3,77
5,20,34,2,14,0,779
0,19,13,2,33,3,1476
0,21,20,2,20,4,1012
4,19,14,2,31,1,2263
0,0,33,2,13,3,1452
4,21,1,2,14,0,887
4,20,42,2,37,4,1096
2,18,51,3,40,1,68
1,11,44,2,22,4,1069
1,20,16,2,49,4,1087
2,18,12,4,31,3,117
0,16,40,4,36,4,102
6,19,5,2,47,3,1358
2,19,45,3,21,0,60
6,9,20,2,8,3,1507
1,10,52,2,34,4,1091
2,20,50,4,21,4,98
4,11,2,4,35,0,115
5,19,22,2,11,1,2328
2,21,36,2,14,3,1400
4,20,32,2,17,3,1685
2,20,7,2,43,1,2380
1,21,1,2,44,3,1454
3,9,41,2,28,0,886
3,21,2,4,37,2,88
2,18,59,2,30,3,1730
5,19,24,2,5,1,2463
0,12,1,4,25,2,118
1,21,3,3,48,4,75
5,18,54,4,46,4,92
4,20,37,2,32,2,4738
2,9,37,4,7,4,91
3,20,21,2,41,2,4133
1,10,28,2,46,0,903
1,21,53,2,40,3,1528
1,18,20,2,30,0,880
0,18,12,4,47,2,94
1,10,17,2,20,4,1077
2,19,35,2,37,0,1199
6,10,4,4,15,1,88
4,18,51,4,3,4,86
0,0,17,4,42,2,97
0,19,48,2,2,1,2456
2,18,0,3,12,3,56
6,12,40,2,1,4,1085
3,20,52,2,29,0,880
5,12,11,4,6,1,82
1,21,28,2,47,2,3522
4,19,24,2,21,2,3492
3,19,18,3,15,2,50
4,12,36,2,37,1,2439
4,11,25,2,48,0,903
6,10,21,2,24,4,1089
1,9,25,2,45,2,3499
1,18,29,2,37,0,895
0,19,18,2,22,4,1080
5,21,24,2,34,0,1136
0,10,2,2,4,3,1721
2,19,42,2,6,0,885
0,21,15,2,19,2,3664
6,10,39,4,27,2,94
3,20,10,2,31,3,1577
3,21,46,4,27,1,89
5,20,35,2,42,3,1528
1,9,58,4,6,0,87
4,19,15,4,38,3,92
4,21,16,2,15,4,1073
0,10,6,4,3,2,96
2,19,0,2,1,2,3450
6,18,51,3,17,1,77
2,20,28,2,2,4,1088
0,19,11,3,28,1,61
6,15,45,2,33,2,3379
2,19,1,2,11,4,1076
2,11,29,2,46,3,1304
4,11,41,2,13,0,915
6,16,41,2,33,2,3241
1,11,38,2,31,2,2458
0,21,22,4,3,2,88
6,15,27,4,27,3,96
1,19,21,2,29,4,1064
3,20,10,4,23,3,81
1,21,12,4,2,0,86
3,21,13,2,30,0,901
2,19,9,2,18,0,886
0,12,22,2,43,4,1277
1,18,37,2,28,3,1485
2,9,49,2,48,0,1205
0,0,50,2,25,3,1432
2,18,36,2,1,1,2341
5,19,0,2,44,2,3369
5,18,51,3,3,4,77
2,10,3,2,2,2,3516
2,20,42,2,9,4,939
3,21,53,2,14,1,2379
4,12,18,2,7,2,3603
6,12,44,2,39,2,3699
0,16,51,2,10,1,2277
3,18,55,2,44,1,2565
1,12,40,2,28,2,3563
6,21,51,2,21,0,891
1,10,47,4,6,1,94
0,0,21,2,17,2,4289
4,21,29,2,34,0,904
3,18,57,2,11,1,2346
0,10,54,3,13,2,62
1,18,18,2,8,3,1434
1,19,27,3,19,3,73
6,18,21,2,30,1,2199
3,21,38,2,31,2,3776
0,21,18,3,35,4,76
4,18,23,4,35,0,93
6,19,54,3,40,1,87
5,12,16,3,9,2,69
6,18,41,2,36,3,1538
6,17,1,2,8,0,899
0,0,15,2,48,0,746
4,18,29,2,21,4,1095
1,19,34,4,11,0,82
6,10,10,2,7,2,3445
3,18,19,2,45,1,2372
3,20,39,2,27,0,912
5,10,37,3,46,0,52
4,21,8,2,9,2,3487
5,20,7,4,26,4,89
0,0,14,2,30,2,3425
5,19,17,3,39,1,77
2,12,29,3,29,3,80
4,21,46,2,4,4,1064
5,21,35,2,33,2,3040
2,21,22,2,41,4,1080
1,18,15,2,34,2,3427
4,18,49,2,24,0,919
2,18,1,2,13,0,883
6,19,18,2,39,2,3669
2,12,30,3,10,2,71
1,19,59,2,27,0,657
3,19,7,2,8,4,1067
4,21,24,2,35,0,892
0,10,15,2,39,1,2438
2,20,28,2,1,0,895
4,19,57,3,22,0,61
0,17,33,2,12,0,890
5,21,58,3,40,4,64
3,19,42,4,16,0,96
1,21,19,2,43,3,1770
2,11,59,4,4,3,95
5,18,15,2,25,4,1097
0,9,47,3,47,4,83
6,16,44,2,22,4,1190
2,21,41,2,36,2,3399
3,19,19,3,16,1,80
5,19,28,3,2,1,40
5,20,47,2,8,1,2332
1,19,13,2,41,4,1073
3,21,19,2,32,2,3722
2,21,22,2,45,0,913
0,20,1,2,46,0,1003
1,19,55,2,19,0,892
3,21,24,3,18,1,77
5,21,7,2,19,4,1088
3,18,30,2,16,4,1073
0,0,28,4,29,4,83
6,12,54,4,38,4,88
3,21,24,4,32,4,63
1,10,1,2,4,3,1505
6,18,25,2,6,3,1460
0,19,2,2,10,3,1551
3,18,27,2,41,4,1096
0,18,38,2,29,4,1098
0,9,10,4,20,0,85
4,18,22,2,45,4,1196
2,9,19,2,5,4,1087
4,18,0,4,46,1,72
0,12,54,2,22,0,892
4,18,35,4,37,4,85
6,15,4,2,6,1,2334
4,11,28,2,7,0,746
0,15,17,2,37,3,1443
1,20,45,2,37,2,2482
1,20,58,2,46,0,1245
1,10,57,2,7,1,2469
5,18,36,2,39,2,3487
5,9,16,2,21,1,2549
1,20,2,2,13,0,910
1,18,56,2,46,1,2294
1,21,51,2,12,0,908
6,20,9,2,38,0,890
3,21,21,2,6,2,3790
2,12,3,2,14,4,1087
5,19,29,2,33,0,882
3,20,55,3,26,1,62
3,20,55,2,13,1,2262
6,18,7,2,42,3,1540
5,20,36,2,27,1,2409
4,21,31,4,21,3,84
5,12,57,2,2,4,1268
1,10,32,2,3,4,1060
5,20,48,2,12,0,915
0,19,11,3,15,4,59
6,10,12,2,41,3,1328
3,18,30,2,34,3,1520
4,19,25,2,9,2,3360
5,18,21,2,27,1,2469
5,21,30,2,43,0,890
2,20,23,2,21,0,678
1,20,30,4,6,2,80
6,10,30,4,39,0,97
0,20,20,2,27,4,1072
6,9,45,2,12,1,2400
0,17,11,3,30,2,51
5,20,5,2,19,2,3363
2,18,39,2,26,4,1008
4,20,49,2,6,0,895
2,19,54,2,7,0,589
1,21,42,2,6,2,3585
4,20,51,2,3,4,1079
4,21,0,2,42,3,1458
2,20,43,4,24,1,91
2,21,57,3,19,1,43
0,9,18,2,5,4,1009
1,21,2,2,40,1,2150
6,11,48,3,7,3,68
3,21,2,2,32,0,915
0,16,21,3,34,0,53
2,18,16,2,19,2,3327
6,10,31,2,36,4,1096
3,11,12,2,38,3,1120
4,20,32,2,24,4,1094
2,20,20,2,11,0,900
1,18,11,2,7,0,885
6,15,29,2,48,3,1145
3,9,25,4,38,1,107
1,18,18,2,17,4,1080
2,20,10,2,10,4,1070
5,18,21,2,33,3,1523
0,21,20,2,7,2,3399
0,16,23,3,4,1,75
4,21,59,4,41,2,87
5,9,31,2,22,1,2297
3,19,33,2,18,3,1125
0,15,13,2,16,1,2283
1,18,46,4,10,4,114
6,15,3,2,15,3,1496
4,21,19,2,41,1,2431
0,10,51,3,45,2,40
0,9,22,4,13,4,89
4,19,29,2,34,0,1121
5,19,13,2,8,1,2469
3,18,22,2,3,2,3735
5,18,42,2,34,1,2783
1,9,25,4,11,4,85
2,18,30,2,46,1,2330
6,0,1,2,31,0,907
1,20,22,2,24,0,917
4,12,26,2,4,3,1127
6,0,30,2,20,1,2377
3,19,41,2,5,1,2328
3,9,40,2,38,2,3047
6,20,43,4,39,0,96
4,19,11,2,31,3,1640
0,16,23,2,5,3,1428
3,12,12,4,27,1,87
1,19,23,2,44,2,3325
3,19,37,2,46,4,926
6,20,25,2,21,3,1614
5,11,55,2,11,2,3380
1,21,5,2,31,0,897
0,0,37,2,40,4,1093
5,21,27,4,22,4,117
0,18,47,2,37,1,2431
0,0,16,2,25,1,2306
1,21,4,2,28,1,2163
4,19,32,2,37,4,1093
0,0,53,2,5,2,2922
5,18,42,3,43,1,88
0,12,4,2,1,1,2398
0,11,57,2,18,1,2421
2,18,47,2,5,0,919
2,12,50,2,47,1,2414
6,11,55,2,18,2,3794
3,19,18,2,39,2,3494
1,18,48,2,5,3,1576
0,0,2,3,12,1,77
1,18,49,3,12,3,78
3,18,35,2,42,2,3459
0,21,12,2,30,1,2318
1,18,7,2,36,2,4540
5,18,19,3,23,1,60
1,19,53,2,31,0,890
2,19,59,4,16,2,89
6,0,31,3,5,3,63
5,21,36,2,14,0,566
3,19,37,2,13,3,1438
5,9,47,2,47,4,1051
3,19,59,2,22,2,3407
1,18,5,2,18,1,2265
4,18,27,2,10,4,1082
3,19,36,2,21,2,4769
1,18,50,3,0,0,59
5,11,37,3,7,3,76
6,9,48,4,11,0,95
1,21,1,2,40,1,2023
5,20,53,2,11,4,924
4,10,45,2,34,3,1477
5,9,1,2,22,3,1505
5,18,10,2,29,2,3459
3,11,31,2,42,1,2306
0,0,18,2,10,2,3339
5,20,15,4,38,1,81
0,20,13,2,36,0,899
1,21,38,4,48,4,114
3,21,27,2,6,3,1504
5,21,42,3,17,4,69
6,10,10,2,22,3,1423
2,20,12,2,14,3,1443
6,14,27,3,0,1,70
4,21,10,2,34,1,2322
2,9,36,2,24,4,867
0,9,34,2,32,2,3542
3,20,50,2,43,2,3512
1,19,12,2,15,0,907
2,10,13,2,13,2,3547
5,20,16,2,49,4,1050
1,12,23,2,2,4,1075
0,19,42,2,46,1,2412
3,10,4,2,18,4,1223
1,21,47,2,40,3,1469
6,21,19,2,21,3,1464
3,18,45,4,22,0,101
6,12,13,2,27,3,1541
6,16,12,2,7,1,2374
0,18,58,2,12,1,2714
3,18,23,2,3,3,1615
4,18,39,2,43,3,1437
2,19,22,2,35,4,1063
3,9,6,2,13,3,1477
6,14,53,2,2,3,1317
5,21,12,2,15,0,890
3,19,23,2,34,1,2456
1,20,34,4,31,3,111
1,18,20,3,5,2,75
3,20,0,2,14,2,3553
1,19,47,2,30,3,1891
1,11,3,3,15,3,81
1,20,19,2,18,3,1462
6,14,44,4,27,2,81
3,9,58,2,45,3,1574
6,15,53,3,20,2,68
0,11,37,2,44,0,969
3,20,30,2,38,0,897
2,21,43,2,23,0,915
4,21,5,4,33,3,93
4,10,3,2,0,1,2261
4,21,21,2,4,0,883
2,10,30,2,39,0,903
1,19,27,2,27,1,2356
2,20,28,4,41,1,93
5,18,25,2,33,0,890
4,18,48,2,8,1,2409
6,9,14,2,15,0,890
3,18,10,2,36,0,909
5,19,36,2,47,0,901
4,11,1,2,17,1,2362
6,19,3,3,34,0,66
1,21,51,2,21,3,1449
2,19,0,2,13,1,2326
4,21,43,2,2,3,1783
0,15,17,2,41,1,2418
4,20,7,4,42,4,92
6,0,59,2,6,4,1377
0,14,47,3,23,1,87
3,9,33,2,3,1,2288
5,18,48,4,31,2,83
4,20,31,2,22,1,2413
6,9,39,3,21,1,85
1,20,49,3,44,1,71
2,11,13,2,37,2,3755
5,19,21,2,35,3,1494
6,18,12,4,10,0,97
0,0,12,2,28,4,1081
2,21,12,2,11,1,2272
4,21,58,2,49,0,896
1,19,5,2,20,2,3451
4,11,4,4,31,2,93
5,20,3,2,4,0,909
4,21,44,2,33,2,4460
0,0,58,4,3,1,80
6,16,24,2,29,4,1079
6,18,58,2,43,1,2419
6,17,53,2,9,1,2413
0,15,36,4,17,3,87
4,11,2,3,21,1,54
0,0,52,2,6,1,2440
0,15,57,2,39,2,3518
3,9,25,4,30,0,64
4,18,49,2,21,4,1060
2,10,4,2,1,4,1222
1,20,5,2,38,0,585
1,20,41,2,4,4,1061
4,21,36,4,41,1,89
4,18,28,2,37,0,917
6,17,18,2,19,3,1486
2,18,40,2,2,1,2378
1,20,44,4,20,0,92
6,19,49,2,25,3,1539
6,20,48,2,1,4,1071
3,20,6,2,21,2,3742
5,10,4,4,25,0,92
5,11,19,2,38,0,909
0,16,13,2,42,1,2407
5,19,1,4,22,0,101
2,18,16,3,25,3,48
6,14,32,3,18,2,55
2,18,46,2,27,3,1552
0,21,32,2,36,4,1083
4,19,42,3,49,0,77
1,19,48,2,40,0,560
5,10,17,4,48,3,114
0,19,40,3,44,3,77
6,0,58,2,34,1,2503
4,12,31,3,4,1,78
3,18,3,4,24,4,103
0,18,53,2,11,3,1464
3,20,32,3,27,1,57
4,18,44,3,27,2,84
1,20,32,2,17,1,2349
0,0,53,2,29,1,2192
3,10,7,3,25,4,50
2,18,49,3,21,2,74
0,18,54,2,49,0,1090
1,9,45,3,12,3,76
0,18,0,3,12,3,84
6,0,57,2,17,4,1071
1,10,12,2,41,3,1442
6,0,10,2,29,1,2300
5,21,41,2,43,1,2341
6,14,10,2,44,3,1483
2,12,1,2,36,0,888
5,20,23,2,7,3,1571
4,12,19,2,32,2,3740
4,18,11,2,9,1,2137
3,18,17,2,8,1,2315
3,12,52,4,26,4,65
2,19,28,2,38,4,1081
6,0,35,2,6,3,1553
6,9,7,3,31,0,69
5,20,24,4,22,2,85
0,10,0,2,11,0,910
0,0,25,3,12,0,78
0,0,20,3,29,2,88
1,19,4,2,15,0,907
5,19,23,3,31,1,73
0,10,11,4,3,4,115
1,11,8,4,19,2,62
5,11,22,3,32,2,45
3,19,16,3,35,4,60
5,19,22,3,3,2,67
3,11,8,2,48,0,883
0,14,30,2,1,3,1604
